#Upper Oka Basin
owner = ALD#Controlled by various small Principalities shifting allegience between Muscovy and Lithuania
controller = ALD
culture = evenk
religion = tengri_pagan_reformed
base_tax = 3
base_production = 3
trade_goods = grain
base_manpower = 3
capital = "Odayev"
is_city = yes
discovered_by = western
discovered_by = latin_group
discovered_by = viking
discovered_by = eastern
discovered_by = muslim
discovered_by = kemetic
discovered_by = ottoman
discovered_by = nomad_group
add_core = ALD
