# Winnica / Vinnystia
owner = SRT
controller = SRT
culture = sarmatian
religion = svetlodrizi
base_tax = 1
base_production = 1
trade_goods = livestock
base_manpower = 1
capital = "Vinnytsia"
is_city = yes
#fort_15th = yes #Bratslav Castle
add_local_autonomy = 25
add_core = KIE
discovered_by = western
discovered_by = latin_group
discovered_by = adventurer
discovered_by = celtic_group
discovered_by = eastern
discovered_by = baltic_group
discovered_by = muslim
discovered_by = kemetic
discovered_by = ottoman
discovered_by = thraco_illyrian
discovered_by = serican_group
discovered_by = iranic_group
discovered_by = nomad_group
discovered_by = uralic_group
add_core = SRT
