########################################
### Generated by Minnator's Modforge ###
########################################
### Modified 10/15/2025 8:40:52 AM ###
# Mers el Kebir
# 4562 Mers el Kebir - 10/15/2025 8:40:52 AM 
owner = HVN
controller = HVN
base_tax = 3
base_production = 2
base_manpower = 2
trade_goods = cloth
culture = septian
religion = vandalic
capital = "Mers el Kebir"
is_city = yes
discovered_by = western
discovered_by = latin_group
discovered_by = adventurer
discovered_by = celtic_group
discovered_by = muslim
discovered_by = kemetic
discovered_by = ottoman
discovered_by = thraco_illyrian
discovered_by = serican_group
discovered_by = iranic_group
discovered_by = eastern
discovered_by = baltic_group
add_core = HVN
